Max Humid,Avg Humid,Min Humid,Max Temp,Avg Temp,Min Temp,Avg Pressure,ACS,ADR,KD
87,67.6,49,5,2.722222222,0,29.5,379,248,2.54
100,90.3,75,3.888888889,2.388888889,1.111111111,29.2,362,196,2
86,65.7,48,1.111111111,-1.388888889,-6.111111111,29.4,359,225,2.28
100,93.3,76,5,-1.222222222,-5,29.9,353,224,2.25
100,91.7,87,2.222222222,1,0,29.2,348,212,1.95
93,89.5,87,2.222222222,1.666666667,1.111111111,29.4,336,196,2
93,82.2,65,2.222222222,-4.388888889,-13.88888889,29.9,334,234,1.67
100,94.7,87,2.222222222,0.8333333333,-1.111111111,29.2,329,230,1.84
87,63.5,42,6.111111111,2.666666667,-2.222222222,29.8,327,199,1.95
100,95.9,75,0,-0.3333333333,-1.111111111,29.3,322,200,2.78
93,69.7,46,13.88888889,8.444444444,3.888888889,29.2,321,221,1.77
70,62,52,6.111111111,3.5,-2.222222222,29.4,314,201,1.74
93,66.9,38,1.111111111,-4.888888889,-12.22222222,30.1,314,205,1.9
86,66.7,41,2.777777778,-2.722222222,-7.222222222,29.9,311,209,1.81
93,81.6,65,3.888888889,-3.444444444,-12.22222222,30.1,310,204,1.6
100,92.5,67,12.22222222,5.277777778,0,29.7,301,195,1.62
100,98.3,93,2.777777778,1.111111111,0,29.3,300,189,1.41
100,80.7,67,13.88888889,9.944444444,1.111111111,29.7,300,186,1.4
100,89.9,71,7.222222222,5.777777778,5,29.1,297,186,1.79
100,72.3,43,7.222222222,1.444444444,-7.777777778,29.8,295,195,1.65
80,65.5,52,5,1.388888889,-2.222222222,29.9,289,203,1.67
100,94.4,81,6.111111111,1.5,-3.888888889,29.9,286,184,1.35
93,77.3,48,1.111111111,-6.055555556,-12.22222222,30,285,182,1.38
100,82.7,65,5,-0.2222222222,-7.222222222,29.8,285,189,1.51
76,49.7,28,12.22222222,8.5,2.777777778,29.4,285,193,1.86
100,74.5,39,6.111111111,2.444444444,-3.888888889,29.3,279,189,1.39
93,72.9,53,6.111111111,2.555555556,-2.222222222,29.7,279,185,1.34
87,58.2,43,8.888888889,5.444444444,0,29.4,270,191,1.4
100,74.1,42,6.111111111,-0.3333333333,-5,29.4,268,161,2
93,61.9,36,3.888888889,-0.05555555556,-5,29.6,262,190,1.55
100,89.5,81,2.222222222,1.222222222,-1.111111111,29.2,259,167,1.23
100,75.5,51,13.88888889,8.055555556,1.111111111,29.5,258,164,1.22
93,78.5,53,6.111111111,-0.05555555556,-3.888888889,29.7,242,158,1.12
93,69.4,53,8.888888889,4.055555556,-6.111111111,29.8,240,158,1.22
93,83.4,65,5,0.3333333333,-2.777777778,29.3,234,143,1.14
100,90.9,70,3.888888889,-2.333333333,-7.222222222,29.3,233,149,1
100,85.3,60,2.222222222,-2.888888889,-8.888888889,29.4,228,147,1.17
93,74.5,53,6.111111111,2.388888889,-2.222222222,29.9,227,168,0.9
62,50.9,41,13.88888889,9.833333333,5,29.4,227,164,1.07
93,71.7,48,1.111111111,-2.722222222,-6.111111111,29.7,226,145,1.06
100,92,76,10,3.666666667,-2.222222222,29.2,216,144,1.06
87,66.3,46,7.777777778,5.666666667,2.222222222,29.3,214,136,1.16
93,81.2,57,10,7.444444444,3.888888889,29.1,202,133,0.89
100,83.2,71,12.22222222,8.166666667,2.777777778,29.2,200,126,0.75
86,66.4,48,1.111111111,-0.5555555556,-2.777777778,29.6,200,142,0.96
93,77.2,56,1.111111111,-3.166666667,-7.777777778,29.5,196,127,0.89
100,68.7,57,7.222222222,4,-2.777777778,29.6,184,124,1.18
86,61.9,42,3.888888889,-0.2222222222,-3.888888889,29.8,121,82,0.54
